language_cat,communicative_speed
bcl,123
dje,108
pis,158
kan,171
sna,121
pam,133
prs,132
tgl,144
ind,161.43944
quy,139
qub,132
kor,117.86514
pag,140
nya,130
yao,157
yor,120
zho,111.26711
zom,129
nld,117
swe,121
ell,96.158447
ron,117.72228
nep,116
lam,129.5
urd,126.80977
sqi,105
suk,134
suz,157
tat,114
teo,117
tgk,123
tha,133.37706
ita,111.63082
rus,127
ukr,115
lat,127
ndc,147
fij,133
fas,132.14102
djk,167
cym,120
hau,110
hil,159
kss,156
kik,125
kdi,143.5
kac,147
jav,161
ilo,147
ibo,131
iba,128
che,115
cfm,140
cak,168
mdy,132
mlg,117
bul,90.679085
mua,105
mww,120
fra,120.86404
som,119
nbl,115
mar,132
hin,142
btx,139
bru,155
ben,148.28693
bem,148
lhu,179
ban,207
ara,121.32662
acn,142
ach,102
loz,128
ces,117.60126
lug,112
heb,102
eng,99.666664
mal,111
amh,95.527145
ceb,146
slk,108
jpn,114.27349
vie,109.82613
pol,113.10607
spa,116
mya,144
por,106.23927
tur,93.418266
ken,148
kck,132
kne,142
knj,184
kki,135
knf,122
kin,106
kog,221
jic,197
jiv,142
hne,145
gvl,145
gur,130.5
guo,191
gum,172
guh,238
guc,184
gqr,155
gvc,186
ipi,238
inb,190
ign,192
ifu,168
krj,148
mcn,118
ksf,125
mca,177
mpg,119
mqb,159
mbt,149
msy,141
meq,172
mfy,161
mio,162
mcb,251
mit,191
miy,154
kyu,210
kyq,142
kyf,119
kvj,129
kum,118
ktu,152
lif,141
mwm,132
mai,156
maf,134
lom,130
lol,129
maz,202
cbu,261
mxt,159
ttc,172
tsz,122
tpt,149
tpp,152
toc,180
ura,185
udu,181
tuo,173
tui,133
tue,139
taj,143
sus,116
srp,105.27368
tbc,214
tcc,131
tca,218
tfr,158
usp,157
zai,122
yva,228
srn,129
wmw,137
wap,208
wal,121
vut,113
ycn,160
yam,155
yal,119
yad,226
yaa,243
xuo,162
xtd,206
xsm,153
xog,123
gof,121
srm,175
noa,187
nnh,123
nnb,144
pbb,133
nas,135
myy,168
myk,135
myb,132
ncu,169
ndi,160
nhu,137
ngu,154
new,130
pir,189
sgb,171
sbl,163
sba,141
sag,148
sab,276
shp,172
spp,110
snf,123
snd,128
smo,141
sri,175
rim,151
prf,127
ppk,168
plw,144
ptu,149
quf,177
qvw,148
qvc,184
gmv,118
bjv,138
bao,160
azz,250
awb,163.5
blz,147
cab,128
bzj,127
bzd,136
bss,138
bqj,149
bqc,93
bps,138
bpr,130
box,121
boa,165
agr,163
agn,154
adj,141
acu,204
acr,145
gng,115
arn,169
anv,163
ald,141
cap,159
car,160
dwr,127
dur,118
dow,122
des,196
etu,141
gid,126
gbi,250
fub,134
ffm,114
ewe,160
cme,125
cle,136
cjp,123
cgc,162
cbv,176
cbt,143
cbi,196
cbc,200
cax,147
cni,195
cnl,149
coe,156
cya,122
crn,239
cof,235
kaz,142
sin,172
kat,98
